Group,Speaker,Vowel,F1,F2,Notes
2,3,o,678.472066,1064.339899,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,o,627.893308,1425.811104,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,o,573.700189,1218.142251,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,o,662.598857,1169.134386,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,u,443.304978,855.539618,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,u,499.747514,805.874637,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,u,428.782222,881.125558,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,u,436.514458,737.148005,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,3,u,370.841144,771.836588,https://www.tiktok.com/@jhu1iaa/video/7541203805765979448
2,4,a,535.655464,1584.28421,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,a,638.547278,1574.118405,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,a,619.020056,1516.389564,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,a,551.159243,1509.827932,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,a,664.03018,1447.351972,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,e,424.791633,1837.782308,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,e,464.454064,1972.4624,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,e,407.800829,2264.934754,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,e,437.728094,1999.177935,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,e,394.93709,1971.289263,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,i,237.349338,2313.877757,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,i,261.236036,2344.206714,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,i,356.019144,2344.541311,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,i,295.58164,2413.817422,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,i,266.574168,2431.303261,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,o,425.957458,876.805303,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,o,413.737657,864.923712,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,o,404.521428,856.381406,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,o,441.902443,969.971592,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,o,392.453517,803.2557,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,u,387.148902,1047.322903,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,u,338.316631,1061.402308,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,u,327.50717,1013.074908,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,u,327.449509,953.393688,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
2,4,u,336.455804,1118.241863,https://www.tiktok.com/@jairo_stefan_/video/7618688331739680020
3,1,a,945.210981,1771.681844,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142930
3,1,a,757.544014,1758.814435,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142930
3,1,a,861.503492,1861.692934,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142931
3,1,a,830.162406,1875.283065,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142932
3,1,a,794.841905,1632.496794,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142933
3,1,e,495.662091,2231.631356,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142934
3,1,e,457.02942,2239.367428,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142935
3,1,e,479.314299,2308.831151,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142936
3,1,e,456.381739,2380.692583,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142937
3,1,e,450.268867,2299.948124,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142938
3,1,i,329.28815,2614.278032,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142939
3,1,i,330.575216,2713.301641,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142940
3,1,i,360.964137,2934.376269,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142941
3,1,i,350.149915,2894.194072,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142942
3,1,i,349.311791,2589.869176,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142943
3,1,o,475.838614,1503.789452,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142944
3,1,o,504.766033,1452.964761,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142945
3,1,o,549.927911,1296.742697,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142946
3,1,o,482.981317,1590.492668,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142947
3,1,o,478.498046,1720.551052,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142948
3,1,u,330.460377,1491.814433,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142949
3,1,u,415.231753,1588.759306,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142950
3,1,u,331.911504,1514.231671,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142951
3,1,u,364.236988,1582.580356,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142952
3,1,u,327.355609,1366.701204,https://www.tiktok.com/@www.tiktokquechuapi/video/7605060587898309906 and https://www.tiktok.com/@www.tiktokquechuapi/video/7626521206883142953
3,2,a,839.041082,1408.769768,https://vt.tiktok.com/ZSQRByEAw/
3,2,a,765.596652,1644.961803,https://vt.tiktok.com/ZSQRByEAw/
3,2,a,666.014815,1446.190282,https://vt.tiktok.com/ZSQRByEAw/
3,2,a,625.658008,1492.188702,https://vt.tiktok.com/ZSQRByEAw/
3,2,a,761.915535,1424.494034,https://vt.tiktok.com/ZSQRByEAw/
3,2,e,405.377239,1916.518521,https://vt.tiktok.com/ZSQRByEAw/
3,2,e,422.884998,2259.113919,https://vt.tiktok.com/ZSQRByEAw/
